run_accession	experiment_accession	sample_accession	scientific_name	instrument_model	read_count	study_title	experiment_alias	fastq_md5	fastq_ftp	sample_alias
ERR5644711	ERX5360211	SAMEA8491801	Homo sapiens	Illumina HiSeq 2500	178962206	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:332-1	4559681ab4e1d008af35ae223d770166;583cd52aa9541ebf031a457a248523ac	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/001/ERR5644711/ERR5644711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/001/ERR5644711/ERR5644711_2.fastq.gz	Sample_B83_0001
ERR5644712	ERX5360212	SAMEA8491802	Homo sapiens	Illumina HiSeq 2500	194893592	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:333-2	f6ff8022f22d3384503312d98e4f294d;fbaf339991160dfa3945ca5c639d66fa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/002/ERR5644712/ERR5644712_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/002/ERR5644712/ERR5644712_2.fastq.gz	Sample_B83_0002
ERR5644717	ERX5360217	SAMEA8491807	Homo sapiens	Illumina HiSeq 2500	188757126	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:333-7	79c9cf3664db20f221250c14416df17c;00e20792b55bed6eea5001a92ffc6974	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/007/ERR5644717/ERR5644717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/007/ERR5644717/ERR5644717_2.fastq.gz	Sample_B83_0007
ERR5644720	ERX5360220	SAMEA8491810	Homo sapiens	Illumina HiSeq 2500	151661702	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:333-10	0b74f2c03d0bc01fa7c8ea9d5b7ff5d8;71e55f53a9cd99ad7cad315748aa846a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/000/ERR5644720/ERR5644720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/000/ERR5644720/ERR5644720_2.fastq.gz	Sample_B83_0010
ERR5644722	ERX5360222	SAMEA8491812	Homo sapiens	Illumina HiSeq 2500	192343852	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:333-12	f33f2dcd00ba1509eb7b83b1211c9318;fa97595459ffa8227a17d176cffc17cb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/002/ERR5644722/ERR5644722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/002/ERR5644722/ERR5644722_2.fastq.gz	Sample_B83_0012
ERR5644723	ERX5360223	SAMEA8491813	Homo sapiens	Illumina HiSeq 2500	169198036	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:333-13	136625649799d49a8bc470a8c857b87e;629d98947c018b929ee17cff0fb37e21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/003/ERR5644723/ERR5644723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/003/ERR5644723/ERR5644723_2.fastq.gz	Sample_B83_0013
ERR5644726	ERX5360226	SAMEA8491816	Homo sapiens	Illumina HiSeq 2500	267632496	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:333-16	cac6ad388460325c2df298ecfb85185e;a0b9c1405ed55cde222f6c83f57c8191	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/006/ERR5644726/ERR5644726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/006/ERR5644726/ERR5644726_2.fastq.gz	Sample_B83_0016
ERR5644730	ERX5360230	SAMEA8491820	Homo sapiens	Illumina HiSeq 2500	181694812	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:333-20	4ddeacfaff9a71fa22e5b56f2e1b67ec;cbfb7c32a08fc61fa672da6b3428981d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/000/ERR5644730/ERR5644730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/000/ERR5644730/ERR5644730_2.fastq.gz	Sample_B83_0020
ERR5644732	ERX5360232	SAMEA8491822	Homo sapiens	Illumina HiSeq 2500	218942056	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:333-22	786a4de6096ee4ec5ee4e1f0bcc6bf14;ca3c7d174cf7707915b663fb376ac9c3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/002/ERR5644732/ERR5644732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/002/ERR5644732/ERR5644732_2.fastq.gz	Sample_B83_0022
ERR5644733	ERX5360233	SAMEA8491823	Homo sapiens	Illumina HiSeq 2500	183681126	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:333-23	bf6bc87fb81984358b5badcafd436392;35c51974f76147ec13c8790c756e5c83	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/003/ERR5644733/ERR5644733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/003/ERR5644733/ERR5644733_2.fastq.gz	Sample_B83_0023
ERR5644734	ERX5360234	SAMEA8491824	Homo sapiens	Illumina HiSeq 2500	190073236	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:333-24	284e1bcac20542959b62896145115f93;96e63e6065ace898a27fdfd165486566	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/004/ERR5644734/ERR5644734_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/004/ERR5644734/ERR5644734_2.fastq.gz	Sample_B83_0024
ERR5644740	ERX5360240	SAMEA8491830	Homo sapiens	Illumina HiSeq 2500	168767714	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:334-30	6359af5347d2d0d3319ea479f330d820;f2dc371108f921012bc414f211541cdc	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/000/ERR5644740/ERR5644740_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/000/ERR5644740/ERR5644740_2.fastq.gz	Sample_B83_0030
ERR5644742	ERX5360242	SAMEA8491832	Homo sapiens	Illumina HiSeq 2500	181114018	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:334-32	9d9ef7436ae16750d88672c76e0183f2;c2eef1e88ad5b40d4645e85de4feeb2c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/002/ERR5644742/ERR5644742_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/002/ERR5644742/ERR5644742_2.fastq.gz	Sample_B83_0032
ERR5644718	ERX5360218	SAMEA8491808	Homo sapiens	Illumina HiSeq 2500	182798200	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:333-8	23a4ff2d260299051bfef70c9c6726b4;ad1a14f47cd714a0717b824af9b742a7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/008/ERR5644718/ERR5644718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/008/ERR5644718/ERR5644718_2.fastq.gz	Sample_B83_0008
ERR5644721	ERX5360221	SAMEA8491811	Homo sapiens	Illumina HiSeq 2500	225636096	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:333-11	98aca5d94d0e0657c75e614a8b437a7e;b6162ee34f35f1c0717733b28a62f61c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/001/ERR5644721/ERR5644721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/001/ERR5644721/ERR5644721_2.fastq.gz	Sample_B83_0011
ERR5644727	ERX5360227	SAMEA8491817	Homo sapiens	Illumina HiSeq 2500	189259720	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:333-17	a51b91be354467185ac7c977606fb535;86d3842dad54abe9de689859af5bed89	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/007/ERR5644727/ERR5644727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/007/ERR5644727/ERR5644727_2.fastq.gz	Sample_B83_0017
ERR5644728	ERX5360228	SAMEA8491818	Homo sapiens	Illumina HiSeq 2500	176384408	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:333-18	6e3cc0365d7f4f78dbacc68774bd4fe8;ab1cc85c7b42b8bc457416de4efc1ab5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/008/ERR5644728/ERR5644728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/008/ERR5644728/ERR5644728_2.fastq.gz	Sample_B83_0018
ERR5644736	ERX5360236	SAMEA8491826	Homo sapiens	Illumina HiSeq 2500	193571786	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:333-26	961e94e9c4c0fb8aabe17f0b79c57a5f;7f13f209337b534e6daa585a158dce71	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/006/ERR5644736/ERR5644736_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/006/ERR5644736/ERR5644736_2.fastq.gz	Sample_B83_0026
ERR5644737	ERX5360237	SAMEA8491827	Homo sapiens	Illumina HiSeq 2500	183640672	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:333-27	07a54b4c2712c5cb3a01d472e651bbc9;c792f98e366f5e3499b9c78c69b2572a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/007/ERR5644737/ERR5644737_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/007/ERR5644737/ERR5644737_2.fastq.gz	Sample_B83_0027
ERR5644738	ERX5360238	SAMEA8491828	Homo sapiens	Illumina HiSeq 2500	145512406	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:334-28	d3a4d346d24df0280527718bbbe043ae;807f0201d9c4c134e3a0c7e8c8f6cd88	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/008/ERR5644738/ERR5644738_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/008/ERR5644738/ERR5644738_2.fastq.gz	Sample_B83_0028
