study_title	run_accession	experiment_accession	sample_accession	scientific_name	sample_alias	instrument_model	fastq_md5	fastq_ftp
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644722	ERX5360222	SAMEA8491812	Homo sapiens	Sample_B83_0012	Illumina HiSeq 2500	f33f2dcd00ba1509eb7b83b1211c9318;fa97595459ffa8227a17d176cffc17cb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/002/ERR5644722/ERR5644722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/002/ERR5644722/ERR5644722_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644723	ERX5360223	SAMEA8491813	Homo sapiens	Sample_B83_0013	Illumina HiSeq 2500	136625649799d49a8bc470a8c857b87e;629d98947c018b929ee17cff0fb37e21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/003/ERR5644723/ERR5644723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/003/ERR5644723/ERR5644723_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644724	ERX5360224	SAMEA8491814	Homo sapiens	Sample_B83_0014	Illumina HiSeq 2500	a3fed594661593070605e3b6d90e062b;acc031e5cbaa88fc33cfb353fb89aee0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/004/ERR5644724/ERR5644724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/004/ERR5644724/ERR5644724_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644725	ERX5360225	SAMEA8491815	Homo sapiens	Sample_B83_0015	Illumina HiSeq 2500	c105134fb477293eaeacd73a23d52831;43b7639d9266b6f90f5252ad6aa7de69	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/005/ERR5644725/ERR5644725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/005/ERR5644725/ERR5644725_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644726	ERX5360226	SAMEA8491816	Homo sapiens	Sample_B83_0016	Illumina HiSeq 2500	cac6ad388460325c2df298ecfb85185e;a0b9c1405ed55cde222f6c83f57c8191	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/006/ERR5644726/ERR5644726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/006/ERR5644726/ERR5644726_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644727	ERX5360227	SAMEA8491817	Homo sapiens	Sample_B83_0017	Illumina HiSeq 2500	a51b91be354467185ac7c977606fb535;86d3842dad54abe9de689859af5bed89	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/007/ERR5644727/ERR5644727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/007/ERR5644727/ERR5644727_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644728	ERX5360228	SAMEA8491818	Homo sapiens	Sample_B83_0018	Illumina HiSeq 2500	6e3cc0365d7f4f78dbacc68774bd4fe8;ab1cc85c7b42b8bc457416de4efc1ab5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/008/ERR5644728/ERR5644728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/008/ERR5644728/ERR5644728_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644729	ERX5360229	SAMEA8491819	Homo sapiens	Sample_B83_0019	Illumina HiSeq 2500	1097d51418a9e36c2d87ac18954a2885;c6e71f67371932cac41f5185a5058bb2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/009/ERR5644729/ERR5644729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/009/ERR5644729/ERR5644729_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644730	ERX5360230	SAMEA8491820	Homo sapiens	Sample_B83_0020	Illumina HiSeq 2500	4ddeacfaff9a71fa22e5b56f2e1b67ec;cbfb7c32a08fc61fa672da6b3428981d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/000/ERR5644730/ERR5644730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/000/ERR5644730/ERR5644730_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644731	ERX5360231	SAMEA8491821	Homo sapiens	Sample_B83_0021	Illumina HiSeq 2500	f415e870e24bf3bb8747260d9e2e85a5;89e25d370ab6310d124950f362a4e067	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/001/ERR5644731/ERR5644731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/001/ERR5644731/ERR5644731_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644732	ERX5360232	SAMEA8491822	Homo sapiens	Sample_B83_0022	Illumina HiSeq 2500	786a4de6096ee4ec5ee4e1f0bcc6bf14;ca3c7d174cf7707915b663fb376ac9c3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/002/ERR5644732/ERR5644732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/002/ERR5644732/ERR5644732_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644733	ERX5360233	SAMEA8491823	Homo sapiens	Sample_B83_0023	Illumina HiSeq 2500	bf6bc87fb81984358b5badcafd436392;35c51974f76147ec13c8790c756e5c83	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/003/ERR5644733/ERR5644733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/003/ERR5644733/ERR5644733_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644734	ERX5360234	SAMEA8491824	Homo sapiens	Sample_B83_0024	Illumina HiSeq 2500	284e1bcac20542959b62896145115f93;96e63e6065ace898a27fdfd165486566	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/004/ERR5644734/ERR5644734_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/004/ERR5644734/ERR5644734_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644735	ERX5360235	SAMEA8491825	Homo sapiens	Sample_B83_0025	Illumina HiSeq 2500	f532d8c6c26b556057e89018c1310f10;5a8a5622765aef1b102cf9a63fed0436	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/005/ERR5644735/ERR5644735_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/005/ERR5644735/ERR5644735_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644736	ERX5360236	SAMEA8491826	Homo sapiens	Sample_B83_0026	Illumina HiSeq 2500	961e94e9c4c0fb8aabe17f0b79c57a5f;7f13f209337b534e6daa585a158dce71	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/006/ERR5644736/ERR5644736_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/006/ERR5644736/ERR5644736_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644737	ERX5360237	SAMEA8491827	Homo sapiens	Sample_B83_0027	Illumina HiSeq 2500	07a54b4c2712c5cb3a01d472e651bbc9;c792f98e366f5e3499b9c78c69b2572a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/007/ERR5644737/ERR5644737_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/007/ERR5644737/ERR5644737_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644738	ERX5360238	SAMEA8491828	Homo sapiens	Sample_B83_0028	Illumina HiSeq 2500	d3a4d346d24df0280527718bbbe043ae;807f0201d9c4c134e3a0c7e8c8f6cd88	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/008/ERR5644738/ERR5644738_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/008/ERR5644738/ERR5644738_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644739	ERX5360239	SAMEA8491829	Homo sapiens	Sample_B83_0029	Illumina HiSeq 2500	da153b0800d8445f5fb125191437e343;4b90eef974a8a90b6d19d30252a05e63	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/009/ERR5644739/ERR5644739_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/009/ERR5644739/ERR5644739_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644740	ERX5360240	SAMEA8491830	Homo sapiens	Sample_B83_0030	Illumina HiSeq 2500	6359af5347d2d0d3319ea479f330d820;f2dc371108f921012bc414f211541cdc	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/000/ERR5644740/ERR5644740_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/000/ERR5644740/ERR5644740_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644741	ERX5360241	SAMEA8491831	Homo sapiens	Sample_B83_0031	Illumina HiSeq 2500	d184aa8eb41171e11ccff5945b5e3f67;155757074c74caeca8c499fbcac72fc7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/001/ERR5644741/ERR5644741_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/001/ERR5644741/ERR5644741_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644742	ERX5360242	SAMEA8491832	Homo sapiens	Sample_B83_0032	Illumina HiSeq 2500	9d9ef7436ae16750d88672c76e0183f2;c2eef1e88ad5b40d4645e85de4feeb2c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/002/ERR5644742/ERR5644742_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/002/ERR5644742/ERR5644742_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644719	ERX5360219	SAMEA8491809	Homo sapiens	Sample_B83_1009	Illumina HiSeq 2500	43132a52abb775a85de6c10706c69971;7c6b67c2b95953fc159e48af7a05e1c7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/009/ERR5644719/ERR5644719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/009/ERR5644719/ERR5644719_2.fastq.gz
